"3xl:text-lg","flex href","h-auto src","2xl:text-med","text-textGrey4","font-bold","text-xxs","font-bold 2","text-xxs 2","font-bold 3","text-xxs 3","text-limited","font-semibold","text-rare","font-semibold 2","text-super-rare","font-semibold 3"
"547th","https://www.soraredata.com/player/108059399053947280620039108571343124972356579802052321395293567415548595609718","https://assets.sorare.com/player/bbb00d54-3c80-4426-b305-243e0871a3c3/picture/avatar-56d016adc2367a48bebbfe3819f8eb4d.png","Zaydou Youssouf","Midfielder  - 23","51.0","100%  PLAYED","54.5","93%  PLAYED","47.1","90%  PLAYED","Ξ 0,0027","2-week average","Ξ 0,0377","Last public sale","Ξ 0,350","Last public sale"
"548th","https://www.soraredata.com/player/113826571802194676939733560746357145874580197619132380971037575725235470482017","https://assets.sorare.com/player/a930b28f-49b1-448e-9529-d550dc458484/picture/avatar-8ee7845778cfec31df639433b8dc8ad7.png","Jesús Ferreira","Forward  - 22","55.2","100%  PLAYED","54.5","80%  PLAYED","56.7","90%  PLAYED","Ξ 0,0254","3-day average","Ξ 0,268","2-week average","Ξ 1,514","2-week average"
"549th","https://www.soraredata.com/player/91667903271315472732193094895288220135598563137055771519567834935490007265892","https://assets.sorare.com/player/d50d887f-f748-4b9e-8f35-3e5d9a3e2dfc/picture/avatar-d9633c23f791aa11af6b4359f27e880d.png","Kosuke Nakamura","Goalkeeper  - 28","59.2","100%  PLAYED","54.5","100%  PLAYED","55.0","68%  PLAYED","No sale","Last public sale","Ξ 0,822","Last public sale","Ξ 0,770",""
"550th","https://www.soraredata.com/player/14515368697072956956384367410204133788204269813804541304241709663456736846500","https://assets.sorare.com/player/2d3e9220-a73e-42ac-9875-d2e9e9d69ca6/picture/avatar-ed46bdd63e060b7c3f44cf7bde07ee24.png","Keisuke Osako","Goalkeeper  - 23","58.8","100%  PLAYED","54.5","93%  PLAYED","53.1","95%  PLAYED","Ξ 0,0699","3-day average","Ξ 0,635","7-day average","Ξ 2,000","Last public sale"
"551st","https://www.soraredata.com/player/45095803308325303425248893759581710363054628189118802039261969280741664428486","https://assets.sorare.com/player/4bf6238e-65cc-42ed-a593-186e34d87f29/picture/avatar-64b052c2cc69962321d2b94ea435ed1c.png","Aleksandar Andrejević","Defender  - 31","63.7","100%  PLAYED","54.5","100%  PLAYED","NA","0%  PLAYED","Ξ 0,0066","3-day average","Ξ 0,0436","2-week average","Ξ 0,0140","Last public sale"
"552nd","https://www.soraredata.com/player/92395339028434385969366127694122468699522279153370101042467461487726592089721","https://assets.sorare.com/player/00c1be71-6b4e-468c-8061-e1fcd0accea8/picture/avatar-c95367b1d4d87e78461ade5209af2a20.png","Tony Mauricio","Midfielder  - 29","45.1","80%  PLAYED","54.5","93%  PLAYED","52.6","95%  PLAYED","Ξ 0,0006","3-day average","Ξ 0,0152","2-week average","Ξ 0,147","1-month average"
"553rd","https://www.soraredata.com/player/mads-hermansen","","Mads Hermansen","Goalkeeper  - 22","52.8","100%  PLAYED","54.4","87%  PLAYED","49.0","83%  PLAYED","No sale","","No sale","","No sale",""
"554th","https://www.soraredata.com/player/27709791545263589281675391216896577974960983608302010526167070308752227510282","https://assets.sorare.com/player/26ad1277-82ac-4afc-bed0-104d279b6bb4/picture/avatar-a502cbb8579db485389f3d84fea7e1fe.png","Kim Bong-Soo","Midfielder  - 23","58.5","100%  PLAYED","54.4","93%  PLAYED","50.8","88%  PLAYED","Ξ 0,0020","3-day average","Ξ 0,0198","3-day average","Ξ 0,342","Last public sale"
"555th","https://www.soraredata.com/player/brice-samba","","Brice Samba","Goalkeeper  - 29","57.5","100%  PLAYED","54.4","87%  PLAYED","53.3","95%  PLAYED","No sale","","No sale","","No sale",""
"556th","https://www.soraredata.com/player/12426322494666968031430660074971237167654670887520483820294040317258977807326","https://assets.sorare.com/player/1d32570e-7567-4c75-9a84-ae246d5e33dd/picture/avatar-508a197e03924267cc8fd041740c7d23.png","Glenn Bijl","Defender  - 27","58.4","80%  PLAYED","54.4","93%  PLAYED","50.2","93%  PLAYED","No sale","7-day average","Ξ 0,0235","Last public sale","Ξ 0,160",""
"557th","https://www.soraredata.com/player/96998064485134351962549900112697171891676891666009475729872201188701063863270","https://assets.sorare.com/player/4288559f-3e66-43d2-b520-7b239dace692/picture/avatar-95011ef05112ed61db1eac61296b5324.png","Marcus Edwards","Forward  - 24","60.3","80%  PLAYED","54.4","93%  PLAYED","53.8","98%  PLAYED","Ξ 0,0294","2-week average","Ξ 0,250","2-week average","No sale",""
"558th","https://www.soraredata.com/player/90261425638241115229209597483368295075149389855350856216118634035716756079331","https://assets.sorare.com/player/4735cb60-e96b-4eac-9f39-b4716c158f1e/picture/avatar-caf44afa4358d5ee9143d3df51e92d64.png","Vincenzo Grifo","Midfielder  - 30","57.1","100%  PLAYED","54.4","100%  PLAYED","58.4","93%  PLAYED","Ξ 0,0080","3-day average","Ξ 0,120","2-week average","Ξ 0,619","1-month average"
"559th","https://www.soraredata.com/player/10321669817648107876579332749041813485764234208964721196559109306153159501159","https://assets.sorare.com/player/a4ed02e1-daa2-423b-9369-18b5441fbdea/picture/avatar-f67598b4ca30da00387dd7acec0c2637.png","Milos Kerkez","Defender  - 19","65.4","100%  PLAYED","54.4","100%  PLAYED","51.2","98%  PLAYED","Ξ 0,0177","3-day average","Ξ 0,105","2-week average","Ξ 0,650","1-month average"
"560th","https://www.soraredata.com/player/24561191062392487153372739500095661073818827314230809992025437575421127319734","https://assets.sorare.com/player/1dc9b8d1-3b39-4750-b590-d6c5d5a993c6/picture/avatar-0fdcd235b278ea128a354d23c13170d0.png","Ryan Strain","Midfielder  - 26","44.0","100%  PLAYED","54.4","93%  PLAYED","51.6","78%  PLAYED","Ξ 0,0005","3-day average","Ξ 0,0172","2-week average","Ξ 0,207","Last public sale"
"561st","https://www.soraredata.com/player/106741533247512775855110473409447652319614493894676753908693683904231330803943","https://assets.sorare.com/player/505f7d99-4be6-42b2-875c-9ac11351f742/picture/avatar-8e6a6896f31972ce5a66eab5867db618.png","Andy Carroll","Forward  - 34","31.7","60%  PLAYED","54.3","80%  PLAYED","46.1","80%  PLAYED","No sale","Last public sale","Ξ 0,0940","","No sale",""
"562nd","https://www.soraredata.com/player/39456337427850284246283805866696740728031536331258938717117588702680110131204","https://assets.sorare.com/player/7fa239cc-f148-4186-af6e-328d0077d1e3/picture/avatar-52f7ab4b7b8c2ba741ac74731a9b9277.png","Brian Lozano","Midfielder  - 29","58.7","60%  PLAYED","54.3","87%  PLAYED","47.9","95%  PLAYED","Ξ 0,0025","3-day average","Ξ 0,0303","3-day average","Ξ 0,363","Last public sale"
"563rd","https://www.soraredata.com/player/74765343987900465027129778074768490308076393970718870511038918225845793722136","https://assets.sorare.com/player/28e2952c-01b7-4546-8fae-505fbfe99247/picture/avatar-d3717d8309bf23077e1286dc63287cd3.png","Tinga","Defender  - 29","51.1","80%  PLAYED","54.3","87%  PLAYED","49.7","48%  PLAYED","Ξ 0,0020","3-day average","Ξ 0,0305","2-week average","Ξ 0,175","2-week average"
"564th","https://www.soraredata.com/player/22461623660931016388391103516584784921409480201815995907051011687025164863561","https://assets.sorare.com/player/c2d9061f-f059-4ad8-9b75-dd702c6b2a6c/picture/avatar-c00388e588a70cfb14d4c67409bad47e.png","Giovanni Di Lorenzo","Defender  - 29","51.3","100%  PLAYED","54.3","100%  PLAYED","59.5","100%  PLAYED","Ξ 0,0237","3-day average","Ξ 0,186","7-day average","Ξ 1,265","Last public sale"
"565th","https://www.soraredata.com/player/58032432508735619629038805972386800202869920331663634895682984696226119101852","https://assets.sorare.com/player/917c58bc-8783-4d73-a919-39bc8383d146/picture/avatar-6469d9b69776877cc21437165c1f2ee7.png","Bradley Barcola","Forward  - 20","53.2","80%  PLAYED","54.3","93%  PLAYED","41.6","70%  PLAYED","Ξ 0,0189","3-day average","Ξ 0,123","7-day average","Ξ 0,698","Last public sale"
"566th","https://www.soraredata.com/player/79793563195258692303696638161274359649945995284955141874358180495966479241913","https://assets.sorare.com/player/774ee3a2-b477-4566-a579-c59348ac37e1/picture/avatar-4aec372f579b57346eb8f6f72ba9fd3a.png","Alejandro Pozuelo","Midfielder  - 31","50.4","100%  PLAYED","54.3","80%  PLAYED","56.4","80%  PLAYED","Ξ 0,0018","7-day average","Ξ 0,0180","7-day average","Ξ 1,417","Last public sale"
"567th","https://www.soraredata.com/player/81953498933043484122803942884643580868943584205957807447228426341180413761466","https://assets.sorare.com/player/317899e0-d65a-405b-92b1-1dfcef3b474c/picture/avatar-8dc90e8e6c059ec8f5b132a3727da6e1.png","Fernando Miguel","Goalkeeper  - 38","47.0","80%  PLAYED","54.3","93%  PLAYED","57.1","65%  PLAYED","Ξ 0,0139","3-day average","Ξ 0,222","7-day average","Ξ 0,525","1-month average"
"568th","https://www.soraredata.com/player/68043426347912763264019419324572799698847289262314322051696204797789407815809","https://assets.sorare.com/player/86e899b8-501e-42b7-afed-104d33948d19/picture/avatar-c80cdbee3d0f58e14b9f1c7a9aa328d3.png","Josip Juranović","Defender  - 27","60.8","80%  PLAYED","54.3","80%  PLAYED","55.4","65%  PLAYED","Ξ 0,0052","3-day average","Ξ 0,0426","3-day average","Ξ 0,353","Last public sale"
"569th","https://www.soraredata.com/player/87914154445931326916694660706716958163743933225952085826222100722669299515202","https://assets.sorare.com/player/738823b0-1eb1-40be-b153-dc4323a8a7b3/picture/avatar-31947336726d8423ddd6a04300ac1bc2.png","Osame Sahraoui","Forward  - 21","57.3","100%  PLAYED","54.3","100%  PLAYED","52.8","98%  PLAYED","Ξ 0,0070","3-day average","Ξ 0,131","3-day average","No sale",""
"570th","https://www.soraredata.com/player/94021649036055427610464251347786414913928784022115848208767003148883142169554","https://assets.sorare.com/player/74a899f2-6f6b-409a-b5c6-4962d5f69995/picture/avatar-b2dd65ccff094d11ef136d0c58a7b9f4.png","Haris Tabaković","Forward  - 28","61.1","80%  PLAYED","54.2","87%  PLAYED","NA","0%  PLAYED","Ξ 0,0030","3-day average","Ξ 0,0419","3-day average","Ξ 0,156","1-month average"
"571st","https://www.soraredata.com/player/37187901448853652469917769524635261693199253239533211227461078154470312445857","https://assets.sorare.com/player/2c9b00ae-ed2a-4dfd-a823-7198d72458d6/picture/avatar-064ca69b5e0f73afa778209351fe0564.png","Niklas Süle","Defender  - 27","46.8","80%  PLAYED","54.2","87%  PLAYED","53.1","93%  PLAYED","Ξ 0,0052","3-day average","Ξ 0,0495","2-week average","Ξ 0,653","Last public sale"
"572nd","https://www.soraredata.com/player/102926353859789050886573925274704076613794802790967235422286004906369507453373","https://assets.sorare.com/player/3456e47f-b00d-4109-94a6-16a4094ed470/picture/avatar-59c8d947746f00ecad1ccb092f23a049.png","Thaciano","Midfielder  - 27","71.8","80%  PLAYED","54.2","87%  PLAYED","46.6","73%  PLAYED","Ξ 0,0037","3-day average","Ξ 0,0406","3-day average","Ξ 0,0316","Last public sale"
"573rd","https://www.soraredata.com/player/17753322844365812328937707926905762669229828674762378194722432030944348668594","https://assets.sorare.com/player/05dea786-40a3-443c-9899-80e357bd1d40/picture/avatar-e67a0a3550d684ee897d81b36a2ac52c.png","Wojciech Szczęsny","Goalkeeper  - 33","46.1","80%  PLAYED","54.2","87%  PLAYED","54.0","90%  PLAYED","Ξ 0,0395","3-day average","Ξ 0,899","Last public sale","Ξ 3,110","Last public sale"
"574th","https://www.soraredata.com/player/36820217776542229674629141890470871887394615470875727055891262300919079822584","https://assets.sorare.com/player/8b1109a7-6bd5-47e9-9de2-3fa0741f2dd7/picture/avatar-3aa6d13723628281cb969cb62b145f2f.png","Uroš Radaković","Defender  - 29","46.0","40%  PLAYED","54.2","80%  PLAYED","50.6","68%  PLAYED","Ξ 0,0015","3-day average","Ξ 0,0273","Last public sale","Ξ 0,0967","Last public sale"
"575th","https://www.soraredata.com/player/58862188469929470293568860408333995197260150308409962136850121389507591592182","https://assets.sorare.com/player/7f43d10e-471f-460e-949f-abefda4bd569/picture/avatar-7375b783b1ca4b80737e9902160e2922.png","Jarrad Branthwaite","Defender  - 20","45.7","80%  PLAYED","54.2","93%  PLAYED","49.6","70%  PLAYED","Ξ 0,0049","3-day average","Ξ 0,0463","7-day average","Ξ 0,239","7-day average"
"576th","https://www.soraredata.com/player/52734492891794617640689945822713790699640399199626833971976628146332983784568","https://assets.sorare.com/player/4b6aff90-44ec-4f47-a311-98742f8b8e27/picture/avatar-86668cf3657e663cdce3c1746c8a6772.png","Ozziel Herrera","Forward  - 21","67.3","100%  PLAYED","54.2","93%  PLAYED","49.4","85%  PLAYED","Ξ 0,0096","3-day average","Ξ 0,0767","3-day average","Ξ 0,499","1-month average"
"577th","https://www.soraredata.com/player/83976201749957523230476836805160617218993601361330940814697675362365302168215","https://assets.sorare.com/player/264f7aea-cfb3-4434-a71a-5e71de529f4b/picture/avatar-db4917ce0b13bb30e911e95fb4266012.png","Lukáš Hradecky","Goalkeeper  - 33","61.9","100%  PLAYED","54.2","100%  PLAYED","49.4","100%  PLAYED","Ξ 0,0253","3-day average","Ξ 0,285","2-week average","Ξ 0,974","Last public sale"
"578th","https://www.soraredata.com/player/58868950480978461201923170136019560636899179532318480255590287134418474905660","https://assets.sorare.com/player/9ee619e1-29ad-4da6-8370-50f8af980352/picture/avatar-b6f0793b7c92f3cdb6be9f0e1e6a5d54.png","Cristian Zapata","Defender  - 36","49.3","80%  PLAYED","54.2","93%  PLAYED","51.7","90%  PLAYED","No sale","Last public sale","Ξ 0,0250","Last public sale","Ξ 0,200",""
"579th","https://www.soraredata.com/player/13831254996796462601296141973912694805652293405364971715528526808736421321330","https://assets.sorare.com/player/cfe74b70-4a72-4232-8d55-9ad985613249/picture/avatar-4d6a43e4f12fad163334a1f49a901076.png","Myrto Uzuni","Forward  - 27","37.3","100%  PLAYED","54.2","93%  PLAYED","53.5","90%  PLAYED","Ξ 0,0031","3-day average","Ξ 0,0508","3-day average","Ξ 0,637","Last public sale"
"580th","https://www.soraredata.com/player/13640551665296474560599236530782044135859966491438644740444517461612983318538","https://assets.sorare.com/player/95e557e6-ff8c-4eef-970c-10777e3a08d1/picture/avatar-ac8c717bb40a09919ff36c23274d2771.png","Gaëtan Laborde","Forward  - 28","61.2","100%  PLAYED","54.1","100%  PLAYED","51.9","95%  PLAYED","Ξ 0,0099","3-day average","Ξ 0,0800","Last public sale","Ξ 1,969","Last public sale"
"581st","https://www.soraredata.com/player/88487164624875146767408361928871673783468522435659532736316870877607193781681","https://assets.sorare.com/player/abb3ab5d-d96f-460c-b0a5-6d8f54a3c8a6/picture/avatar-1ef0dc7c9e3e8c1e8efd7ab1d24982ae.png","Rodrigo Rey","Goalkeeper  - 32","44.9","100%  PLAYED","54.1","100%  PLAYED","56.5","100%  PLAYED","Ξ 0,0223","7-day average","Ξ 0,469","1-month average","Ξ 1,170","Last public sale"
"582nd","https://www.soraredata.com/player/107537224999021777570378435356382195180214942898448033212207084334114824191679","https://assets.sorare.com/player/70398e88-7504-4f05-b62c-2ea41d1ed9dd/picture/avatar-01b190ca385c33d0c696959c007178e1.png","Paulo Otávio","Defender  - 28","60.3","60%  PLAYED","54.1","80%  PLAYED","54.1","63%  PLAYED","Ξ 0,0014","3-day average","Ξ 0,0163","7-day average","Ξ 0,182","Last public sale"
"583rd","https://www.soraredata.com/player/45592695284595003146376812042423713865894985979018950716604123397094759227743","https://assets.sorare.com/player/e1d1de4f-004b-4594-bc70-25a0233ef8e5/picture/avatar-896a92579c197d165ac8078910b14343.png","Stanislav Lobotka","Midfielder  - 28","47.9","100%  PLAYED","54.1","100%  PLAYED","54.5","100%  PLAYED","Ξ 0,0102","3-day average","Ξ 0,0633","7-day average","Ξ 0,316","Last public sale"
"584th","https://www.soraredata.com/player/109137815604007039595239962557096472520036551675112182484843035762277586471613","https://assets.sorare.com/player/7be5f001-c7fc-46c7-8f67-52b5445f87fa/picture/avatar-535269522915b43f59141e22cdc699ad.png","Ezequiel Piovi","Midfielder  - 30","45.7","80%  PLAYED","54.1","80%  PLAYED","53.4","88%  PLAYED","Ξ 0,0018","3-day average","Ξ 0,0414","1-month average","Ξ 0,283","Last public sale"
"585th","https://www.soraredata.com/player/89818927801246279198515423973466776603444504442148338986075118796435231238906","https://assets.sorare.com/player/82f6c37e-a06a-4b51-a88f-95bd779b15b6/picture/avatar-3ee8993450854a7269bfbe217bb8b75a.png","Johan Hove","Midfielder  - 22","48.2","100%  PLAYED","54.1","100%  PLAYED","50.3","100%  PLAYED","Ξ 0,0018","3-day average","Ξ 0,0716","1-month average","No sale",""
"586th","https://www.soraredata.com/player/45503436742387003688427053009951182009894838713124968191914147937898494664877","https://assets.sorare.com/player/3d6f2418-c387-44a9-b2a0-dda8acc3c314/picture/avatar-1f5f5733db2d78528f1da9bb49a92c0b.png","Mateo Kovačić","Midfielder  - 28","47.0","100%  PLAYED","54.1","93%  PLAYED","51.1","83%  PLAYED","Ξ 0,0056","3-day average","Ξ 0,0485","3-day average","Ξ 0,245","1-month average"
"587th","https://www.soraredata.com/player/45892048257853969569406829446636331011078032785610299031583254572778119032897","https://assets.sorare.com/player/e247b5f7-84e3-4297-902b-a4aaa1df8954/picture/avatar-4caab1069f70d6c4009536b94a97a8a5.png","Castello Lukeba","Defender  - 20","58.7","100%  PLAYED","54.1","87%  PLAYED","51.5","93%  PLAYED","Ξ 0,0117","3-day average","Ξ 0,128","3-day average","Ξ 0,371","1-month average"
"588th","https://www.soraredata.com/player/76143377159261376383904311273942755056193488602566887450133395009790868034124","https://assets.sorare.com/player/2ead0a96-3d7f-48f7-a1af-f4885ec5e5a3/picture/avatar-4c695c05d83ad8af96cf5602febc512e.png","Alexis Soto","Defender  - 29","53.8","80%  PLAYED","54.0","93%  PLAYED","46.0","90%  PLAYED","No sale","Last public sale","Ξ 0,0475","Last public sale","Ξ 0,0560",""
"589th","https://www.soraredata.com/player/carlos-uriel-antuna-romero","","Uriel Antuna","Forward  - 25","59.5","100%  PLAYED","54.0","93%  PLAYED","50.9","93%  PLAYED","No sale","","No sale","","No sale",""
"590th","https://www.soraredata.com/player/6154515122023328431409487490495688681415002914506568203761009949805493776150","https://assets.sorare.com/player/15e13045-c991-4e3e-8fb0-f98295abee69/picture/avatar-e3e4de64acb0f9669c83286011e5e45a.png","Rui Patrício","Goalkeeper  - 35","43.3","100%  PLAYED","54.0","100%  PLAYED","50.8","88%  PLAYED","Ξ 0,0238","3-day average","Ξ 0,538","Last public sale","Ξ 2,400","Last public sale"
"591st","https://www.soraredata.com/player/83011771991294584132166860949164226079585875122822616878172476432051553731997","https://assets.sorare.com/player/559d7f05-b3cf-407d-8e95-414819c3dc4d/picture/avatar-ff93c9f14b6f966784b55d46a3048a3e.png","Jean-Pierre Nsame","Forward  - 30","54.0","80%  PLAYED","54.0","87%  PLAYED","54.3","85%  PLAYED","No sale","","No sale","","No sale",""
"592nd","https://www.soraredata.com/player/112280319600599453907883708531479555280912329226969490685013040318334100844381","https://assets.sorare.com/player/06eb7bbc-58ed-4cd7-a43b-2b0423414b2a/picture/avatar-8bf5ff4bdf6c85383da8fa72b14cbbb1.png","Luka Jelenić","Defender  - 22","45.2","100%  PLAYED","54.0","93%  PLAYED","46.9","70%  PLAYED","Ξ 0,0012","3-day average","Ξ 0,0173","3-day average","Ξ 0,0955","2-week average"
"593rd","https://www.soraredata.com/player/95075237360439481817955236127899129260081345582685563414616086965180733360645","https://assets.sorare.com/player/b7ed796e-e7e4-49e6-8245-e56cbf7bdbf4/picture/avatar-e057221ff64734d7c888b63c10d87b5c.png","Franco Armani","Goalkeeper  - 36","45.9","100%  PLAYED","54.0","100%  PLAYED","56.5","78%  PLAYED","Ξ 0,0512","3-day average","Ξ 0,480","3-day average","Ξ 1,600","Last public sale"
"594th","https://www.soraredata.com/player/100419445514996610150124287892301689531697964545284217313515074253744549288728","https://assets.sorare.com/player/8d1d0f25-d649-4577-b651-da76334a9a77/picture/avatar-5ce8a79e09c2ee7e4f8f13d1602d8279.png","Odysseas","Goalkeeper  - 29","45.1","100%  PLAYED","54.0","100%  PLAYED","51.8","100%  PLAYED","Ξ 0,0387","3-day average","Ξ 0,390","7-day average","Ξ 1,806","2-week average"
"595th","https://www.soraredata.com/player/37034917016055775394326887162320461789863286078453127775497713826357486184142","https://assets.sorare.com/player/7fa7b958-a933-4a5f-a293-ebadb568fb47/picture/avatar-c3e2f0f2f98055e3ed51a8c0cd8c58af.png","Cas Odenthal","Defender  - 22","46.8","100%  PLAYED","54.0","93%  PLAYED","49.2","68%  PLAYED","Ξ 0,0047","1-month average","Ξ 0,0550","1-month average","Ξ 0,188","Last public sale"
"596th","https://www.soraredata.com/player/47272399069615426242972357193876178497675983160561592926622490159406437945219","https://assets.sorare.com/player/ce20c9cb-1d8a-4da4-8259-776541e5524c/picture/avatar-6b89d7c839b442d1ba7dc991f4a0188c.png","Dániel Gazdag","Midfielder  - 27","54.9","100%  PLAYED","54.0","87%  PLAYED","56.7","95%  PLAYED","Ξ 0,0266","3-day average","Ξ 0,231","7-day average","Ξ 1,114","1-month average"
"597th","https://www.soraredata.com/player/79467299242724399886414153652840985304740855691363366083159916665320071569450","https://assets.sorare.com/player/4da477bb-564d-4065-899e-d6f8210117f2/picture/avatar-96084c1001e3a27076195da551d06371.png","Thomas Sabitzer","Forward  - 22","52.8","100%  PLAYED","54.0","87%  PLAYED","49.4","78%  PLAYED","Ξ 0,0034","3-day average","Ξ 0,0520","3-day average","Ξ 0,420","Last public sale"
"598th","https://www.soraredata.com/player/3643844390212034753313545827549398429761769352211335771000179496671416666894","https://assets.sorare.com/player/c22e7bae-696d-4fc8-ac39-2563069fa545/picture/avatar-6b144dc1d21004f334ea618de5c8ddda.png","Frederik Rønnow","Goalkeeper  - 30","62.3","80%  PLAYED","54.0","80%  PLAYED","55.0","73%  PLAYED","Ξ 0,0198","3-day average","Ξ 0,250","7-day average","Ξ 0,782","Last public sale"
"599th","https://www.soraredata.com/player/90902978676298901579642253514530476384042564280763645700919773090355769173334","https://assets.sorare.com/player/a8072cf4-6e83-4c4b-95ce-75c7ac7c5ca5/picture/avatar-d8a88e294ddacbf85830e5902cb250b4.png","César Gelabert","Midfielder  - 22","27.4","40%  PLAYED","53.9","80%  PLAYED","52.9","55%  PLAYED","Ξ 0,0014","3-day average","Ξ 0,0337","3-day average","Ξ 0,230","Last public sale"
"600th","https://www.soraredata.com/player/94578785963140619712341424074947363763042022599212410555456307118430732374054","https://assets.sorare.com/player/9548be57-8b65-4e98-8aec-53e2a46d40ae/picture/avatar-0d9c571822c99b67263d8076850a955a.png","Christopher Jullien","Defender  - 30","54.6","100%  PLAYED","53.9","93%  PLAYED","48.3","68%  PLAYED","Ξ 0,0020","3-day average","Ξ 0,0640","Last public sale","Ξ 0,506","Last public sale"
"601st","https://www.soraredata.com/player/90528486699653191659394767919045758704961280019292044497420502316832523593247","https://assets.sorare.com/player/263f1bcf-dc7d-4a3b-9607-25eb0815b13b/picture/avatar-2d34e54a19b619a96a845f979d86cd59.png","Dilane Bakwa","Forward  - 20","53.8","100%  PLAYED","53.9","93%  PLAYED","50.2","85%  PLAYED","Ξ 0,0059","3-day average","Ξ 0,0805","3-day average","Ξ 0,416","Last public sale"
"602nd","https://www.soraredata.com/player/55656976270810910993856611158230592548804242990433203997281707898560380696620","https://assets.sorare.com/player/e46e36d9-340a-4324-b83b-5be862543a2c/picture/avatar-620e214f34f21a37dd0f68b58b77cf1e.png","Anastasios Douvikas","Forward  - 23","48.1","100%  PLAYED","53.9","100%  PLAYED","47.1","90%  PLAYED","Ξ 0,0061","3-day average","Ξ 0,0750","7-day average","Ξ 0,624","Last public sale"
"603rd","https://www.soraredata.com/player/108043413595351710574633740606603217186299636225462649888500058515228671970965","https://assets.sorare.com/player/bd89c9a9-0a05-4334-b68e-a296cf4c4cb9/picture/avatar-d2fd947e5026a471cd60772d7fc07ca1.png","Joe Willock","Midfielder  - 23","56.3","100%  PLAYED","53.9","93%  PLAYED","48.2","90%  PLAYED","Ξ 0,0094","3-day average","Ξ 0,0515","2-week average","Ξ 0,267","1-month average"
"604th","https://www.soraredata.com/player/113316672210211094427675239453772449640728606227596356337351239434460258565931","https://assets.sorare.com/player/0fcdbf99-f388-4033-b416-b35133a68e8f/picture/avatar-92528415ad15fe1abc87e5a882c08038.png","Leo Väisänen","Defender  - 25","48.2","100%  PLAYED","53.9","87%  PLAYED","NA","0%  PLAYED","Ξ 0,0056","3-day average","Ξ 0,0627","1-month average","No sale",""
"605th","https://www.soraredata.com/player/98455259308741579498448014612399319374690015753016269135132152738155846003705","https://assets.sorare.com/player/648d87dd-e475-4723-b4ba-6f560757eabd/picture/avatar-2dfe6dc6d722cebc82e081995cc18884.png","Danilo Pereira","Midfielder  - 31","52.2","100%  PLAYED","53.9","100%  PLAYED","49.4","80%  PLAYED","Ξ 0,0030","3-day average","Ξ 0,0272","3-day average","Ξ 0,178","1-month average"
"606th","https://www.soraredata.com/player/17593915260529552495749905681678096908629337443072770581183344125011819050599","https://assets.sorare.com/player/21752576-9475-426e-8ecd-7689f6449974/picture/avatar-309c10474cb619a42909a2721322b313.png","Rayan Cherki","Forward  - 19","57.5","80%  PLAYED","53.9","93%  PLAYED","48.3","73%  PLAYED","Ξ 0,0234","3-day average","Ξ 0,257","7-day average","Ξ 1,969","7-day average"
"607th","https://www.soraredata.com/player/83040368531855762447652414380194523395610814392317041920941142281516292132457","https://assets.sorare.com/player/335dfa82-bf22-4b50-8d3c-b41099a67446/picture/avatar-1a0f84d0098b84fcc63f1536147d192a.png","Kasper Junker","Forward  - 29","46.7","100%  PLAYED","53.9","93%  PLAYED","49.8","73%  PLAYED","Ξ 0,0136","3-day average","Ξ 0,450","Last public sale","No sale",""
"608th","https://www.soraredata.com/player/59110256185629012826047253158298380221071103825199649956747688579918904514621","https://assets.sorare.com/player/d1a39c67-c880-43d8-af05-0f09abd6acd2/picture/avatar-573fe1721d0487f05da281df674edda5.png","Matheus Uribe","Midfielder  - 32","59.9","100%  PLAYED","53.9","87%  PLAYED","54.9","88%  PLAYED","Ξ 0,0049","7-day average","Ξ 0,0333","7-day average","Ξ 1,082","Last public sale"
"609th","https://www.soraredata.com/player/85518095200056556610093200447027963958367762274869721318297892765742741369849","https://assets.sorare.com/player/8a97a118-04ab-4265-8ee9-d0304a932135/picture/avatar-25c167d0b1aebff7a256e6ab84999b5d.png","Gabriel Magalhães","Defender  - 25","47.0","100%  PLAYED","53.9","100%  PLAYED","55.4","98%  PLAYED","Ξ 0,0142","3-day average","Ξ 0,136","2-week average","Ξ 0,749","1-month average"
"610th","https://www.soraredata.com/player/102548391113935697973504011548712645452645796793101056315529995095966996106216","https://assets.sorare.com/player/e2795453-6a22-4006-a4a1-6fa15a57ce67/picture/avatar-a3a2f148083e81f97185ed0224ae8f0a.png","Marnon Busch","Defender  - 28","45.2","100%  PLAYED","53.9","80%  PLAYED","48.6","83%  PLAYED","Ξ 0,0007","3-day average","Ξ 0,0230","7-day average","Ξ 0,1000","7-day average"
"611th","https://www.soraredata.com/player/30028476225289973350010407117867705327217864279179637364973201881712935725223","https://assets.sorare.com/player/79a4d156-d653-4994-b2c7-27621b710975/picture/avatar-767b3ba1b998cd77d5a30cc0d2162ac7.png","Johny Placide","Goalkeeper  - 35","45.3","100%  PLAYED","53.9","87%  PLAYED","50.9","80%  PLAYED","Ξ 0,0054","3-day average","Ξ 0,111","3-day average","Ξ 0,362","2-week average"
